Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-08,14.96,110.65,5.98,0.66,-8.31,❌ LOS
2025-05-12,17.59,118.85,-3.47,-7.49,-11.53,❌ LOS
2026-02-12,17.73,98.46,1.6,-7.87,-20.83,❌ LOS
2026-04-08,14.14,97.08,5.6,8.46,8.93,✅ WIN
2026-04-09,25.82,101.95,0.29,2.23,2.09,✅ WIN
2026-04-10,14.84,99.76,6.12,2.57,3.88,✅ WIN
2026-04-13,15.8,100.22,10.95,3.16,0.2,✅ WIN
2026-04-17,16.15,105.87,-3.35,-1.88,-10.32,❌ LOS
2026-04-20,25.36,111.19,-7.02,-8.73,-12.76,❌ LOS
2026-04-21,17.2,107.35,-4.5,-4.11,-7.68,❌ LOS
2026-05-26,17.59,116.03,0.72,10.12,4.63,✅ WIN
2026-05-27,17.47,118.39,0.08,3.0,0.41,✅ WIN
2026-05-28,13.09,118.62,2.44,6.11,7.71,✅ WIN
2026-05-29,13.05,118.67,0.57,5.09,5.61,✅ WIN
2026-06-01,19.31,119.28,1.15,5.86,1.14,✅ WIN
2026-06-03,19.72,118.48,2.92,5.11,5.74,✅ WIN
2026-06-04,25.65,121.52,3.58,2.9,3.51,✅ WIN
2026-06-05,20.34,119.35,4.49,3.73,4.36,✅ WIN
2026-06-08,25.7,120.65,4.66,0.41,1.48,✅ WIN
2026-06-09,38.62,127.77,-0.54,-4.99,-0.5,❌ LOS
2026-06-10,19.97,121.94,2.12,-2.51,8.89,✅ WIN
