Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-15,0.93,8.23,13.61,12.88,52.0,✅ WIN
2025-01-16,0.84,7.97,14.87,14.93,55.83,✅ WIN
2025-01-21,1.04,8.74,1.6,8.81,43.14,✅ WIN
2025-01-22,1.39,8.93,4.59,7.84,40.31,✅ WIN
2025-01-23,2.78,9.35,-0.64,2.78,26.42,✅ WIN
2025-01-24,1.46,9.15,0.05,1.04,26.82,✅ WIN
2025-01-28,0.81,8.88,7.09,12.05,35.47,✅ WIN
2025-01-29,0.91,9.34,3.1,6.42,21.95,✅ WIN
2025-02-06,0.91,9.61,30.18,23.0,16.75,✅ WIN
2025-02-13,9.47,12.51,-5.52,-6.16,-15.91,❌ LOS
2025-02-14,3.37,12.42,-6.52,-11.67,-17.07,❌ LOS
2025-02-18,2.75,12.23,-6.87,-9.89,-18.07,❌ LOS
2025-02-19,1.97,12.51,-3.84,-8.39,-17.91,❌ LOS
2025-02-20,1.78,12.53,-9.1,-11.65,-20.67,❌ LOS
2025-02-21,1.77,11.82,-0.68,-5.08,-14.81,❌ LOS
2025-02-24,1.29,11.61,-5.51,-6.72,-13.18,❌ LOS
2025-02-26,1.48,12.03,-4.74,-9.73,-17.21,❌ LOS
2025-02-27,1.0,11.39,-2.81,-12.47,-15.1,❌ LOS
2025-02-28,1.51,11.74,-4.43,-10.39,-22.4,❌ LOS
2025-05-13,0.76,8.81,-2.27,1.82,9.08,✅ WIN
2026-02-13,5.16,6.79,-20.47,-14.87,-22.24,❌ LOS
