Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-09-18,38.02,125.66,-5.88,-1.16,-4.06,❌ LOS
2025-09-19,32.41,125.64,-4.2,-2.52,-3.56,❌ LOS
2026-05-14,32.92,144.99,11.77,26.05,17.73,✅ WIN
2026-05-15,46.91,148.52,11.68,31.66,16.64,✅ WIN
2026-05-18,65.49,154.71,8.52,24.26,9.8,✅ WIN
2026-05-19,58.85,154.22,4.62,21.19,10.71,✅ WIN
2026-05-20,73.63,162.53,3.21,10.61,5.35,✅ WIN
2026-05-21,41.07,162.06,12.77,3.52,4.2,✅ WIN
2026-05-22,43.18,165.87,17.89,-0.7,2.63,✅ WIN
2026-05-26,33.06,167.89,14.5,-3.96,0.22,✅ WIN
2026-05-27,42.98,161.34,15.84,0.37,5.16,✅ WIN
2026-05-28,30.96,167.75,7.17,3.06,4.48,✅ WIN
2026-05-29,75.63,182.75,-8.21,-6.59,1.63,✅ WIN
2026-06-01,80.78,195.54,-15.77,-11.41,-2.43,❌ LOS
2026-06-02,64.61,192.24,-16.13,-11.63,0.49,✅ WIN
2026-06-03,61.56,186.9,-13.36,-8.65,3.79,✅ WIN
2026-06-04,57.41,179.77,-3.83,-4.76,10.91,✅ WIN
2026-07-14,44.24,210.73,-9.29,-13.73,5.3,✅ WIN
2026-07-15,38.24,206.77,-8.87,-13.25,7.26,✅ WIN
