Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-06,5.31,35.95,-1.08,-6.26,-5.82,❌ LOS
2025-07-25,4.32,35.26,-2.1,-0.92,-3.3,❌ LOS
2025-07-29,3.97,34.93,0.65,1.13,-8.5,❌ LOS
2025-09-29,7.05,35.47,1.17,-0.73,0.47,✅ WIN
2025-12-15,4.17,36.94,-1.72,-2.04,-2.69,❌ LOS
2026-02-03,3.54,38.9,4.47,5.64,9.63,✅ WIN
2026-02-04,4.07,39.6,3.74,4.59,3.6,✅ WIN
2026-02-06,3.81,40.35,0.64,3.35,0.3,✅ WIN
2026-02-09,3.94,40.46,0.76,4.3,0.8,✅ WIN
2026-02-10,3.85,40.64,1.12,3.23,-1.04,❌ LOS
2026-02-11,5.54,41.08,0.82,3.17,-4.82,❌ LOS
2026-02-12,4.1,40.44,3.96,5.23,-3.12,❌ LOS
2026-02-20,4.59,42.04,1.23,-5.27,-9.49,❌ LOS
2026-04-09,3.49,42.36,0.54,8.68,4.64,✅ WIN
2026-04-17,3.6,43.19,4.82,4.09,5.4,✅ WIN
2026-04-23,9.83,46.04,-1.62,-3.72,-0.61,❌ LOS
2026-04-24,5.16,45.27,-0.7,-1.28,0.24,✅ WIN
