Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-26,2.15,45.51,-3.91,-6.57,-13.62,❌ LOS
2025-05-02,2.9,39.77,0.23,2.61,1.6,✅ WIN
2025-05-05,2.61,40.0,0.28,1.8,-0.49,❌ LOS
2025-05-16,1.67,40.81,-5.4,-0.98,-1.33,❌ LOS
2026-02-27,2.07,40.0,-2.26,-6.05,-12.59,❌ LOS
2026-03-02,2.12,40.69,-4.21,-7.15,-14.2,❌ LOS
2026-04-14,2.22,39.08,-0.05,-0.03,3.36,✅ WIN
2026-04-15,1.83,38.43,0.36,1.95,2.41,✅ WIN
2026-04-17,3.66,39.27,-0.65,0.85,-3.62,❌ LOS
2026-04-20,3.86,39.71,-3.01,-2.98,-3.28,❌ LOS
2026-04-21,2.01,39.06,0.03,-1.06,-1.59,❌ LOS
2026-04-22,2.05,38.57,1.59,3.04,1.38,✅ WIN
2026-04-23,2.31,39.26,1.73,1.16,0.8,✅ WIN
2026-04-24,1.92,39.01,1.52,2.33,1.34,✅ WIN
2026-06-05,2.17,39.77,3.92,0.45,2.78,✅ WIN
2026-06-08,1.68,39.63,2.86,1.69,0.77,✅ WIN
2026-06-09,3.61,41.13,-1.18,-2.64,-3.27,❌ LOS
2026-06-10,1.91,41.12,-3.79,-2.47,-2.27,❌ LOS
