Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-12,14.83,60.37,2.96,1.99,4.0,✅ WIN
2025-02-13,11.9,63.37,-4.35,-0.98,-1.04,❌ LOS
2025-02-28,6.37,62.75,0.93,-0.06,2.16,✅ WIN
2025-08-15,7.16,66.9,3.94,6.63,7.08,✅ WIN
2025-08-18,9.53,68.43,1.48,5.59,4.72,✅ WIN
2025-08-21,6.9,69.66,0.99,3.29,4.89,✅ WIN
2025-08-22,7.58,69.53,2.59,-1.46,5.37,✅ WIN
2025-08-29,8.42,71.34,-3.95,0.42,3.31,✅ WIN
2025-09-02,12.04,72.26,-3.16,-0.82,1.75,✅ WIN
2025-09-03,7.72,71.5,0.89,0.93,4.84,✅ WIN
2025-10-15,8.97,78.67,1.66,0.73,0.31,✅ WIN
2025-10-17,6.4,80.48,0.1,-4.52,-4.94,❌ LOS
2025-10-28,7.53,80.82,-5.01,-2.83,-4.54,❌ LOS
2025-10-29,7.78,79.25,-2.54,-0.42,-0.92,❌ LOS
2025-12-11,5.95,79.47,-3.76,-1.51,-0.58,❌ LOS
2026-03-02,7.71,80.95,-4.16,-7.13,-14.11,❌ LOS
