Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-09-02,55.53,49.62,3.79,0.28,10.76,✅ WIN
2025-09-03,16.87,49.99,4.02,-4.86,11.7,✅ WIN
2025-09-04,8.94,49.75,7.18,-0.92,13.21,✅ WIN
2025-09-05,14.48,53.01,-3.55,-8.21,7.47,✅ WIN
2025-09-08,8.69,52.09,-5.09,-7.37,16.41,✅ WIN
2025-09-17,13.59,47.56,1.53,17.41,32.04,✅ WIN
2025-09-18,8.97,49.29,-2.96,14.26,19.62,✅ WIN
2025-09-19,9.27,48.66,3.58,17.08,20.1,✅ WIN
2025-10-06,12.6,60.64,-1.73,-2.13,-1.01,❌ LOS
2025-10-07,8.53,60.17,1.43,-3.97,-0.91,❌ LOS
2025-10-08,7.43,60.82,3.26,-9.96,-2.68,❌ LOS
2025-10-14,11.0,61.03,-5.33,1.54,8.96,✅ WIN
2025-10-15,13.42,62.8,-12.8,-1.29,5.0,✅ WIN
2025-10-16,7.38,58.96,-2.48,5.58,11.13,✅ WIN
2025-11-11,15.92,66.5,-0.51,1.58,-9.29,❌ LOS
2025-11-12,11.29,65.94,-1.74,3.35,-7.84,❌ LOS
2025-11-13,9.49,65.52,-3.08,3.98,-3.31,❌ LOS
2025-11-14,7.15,66.44,-1.51,-0.59,-6.44,❌ LOS
2025-11-25,8.98,67.55,-4.28,-10.7,-4.99,❌ LOS
2025-11-26,7.71,68.15,-2.36,-10.83,-7.4,❌ LOS
