Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-03,35.52,190.8,0.96,11.1,1.37,✅ WIN
2025-02-11,33.42,193.09,10.44,2.85,-2.79,❌ LOS
2025-02-12,52.66,200.89,0.68,-2.51,-11.25,❌ LOS
2025-02-13,35.63,205.64,-2.77,-3.5,-10.77,❌ LOS
2025-02-14,56.57,213.38,-8.21,-7.16,-11.02,❌ LOS
2025-02-18,28.47,211.97,-9.77,-8.76,-12.62,❌ LOS
2025-05-05,29.76,205.4,-6.48,-1.57,4.04,✅ WIN
2025-05-28,37.26,206.59,6.6,5.43,16.0,✅ WIN
2025-06-04,25.87,220.23,-1.1,0.16,8.43,✅ WIN
2025-06-24,29.34,236.17,0.78,4.19,1.86,✅ WIN
2025-06-27,41.73,242.32,1.89,0.22,1.7,✅ WIN
2025-06-30,53.86,246.51,-2.04,-3.95,-1.34,❌ LOS
2025-07-01,28.05,238.01,3.38,-1.47,4.2,✅ WIN
2025-07-07,36.46,246.89,-1.64,-2.58,4.51,✅ WIN
2025-08-04,25.99,258.02,-0.75,-1.81,-5.39,❌ LOS
2025-08-05,26.52,255.28,3.54,-2.71,-2.53,❌ LOS
2025-08-06,42.68,258.08,-1.5,-5.53,-3.6,❌ LOS
2025-08-07,101.35,270.99,-8.69,-9.52,-8.91,❌ LOS
2025-08-08,26.17,259.19,-4.32,-4.58,-3.31,❌ LOS
2025-09-19,62.38,265.29,-1.06,2.24,-0.84,❌ LOS
2025-12-19,31.09,234.25,-1.38,-2.08,-11.85,❌ LOS
