Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-18,1.56,25.81,-1.82,-0.92,0.68,✅ WIN
2024-12-23,1.49,25.47,0.76,-0.11,3.68,✅ WIN
2025-02-05,2.23,26.9,0.36,0.18,-5.67,❌ LOS
2025-02-07,1.8,26.61,2.18,-1.96,-3.41,❌ LOS
2025-02-10,1.83,26.92,1.76,-2.98,-4.48,❌ LOS
2025-02-11,1.42,26.92,1.18,-2.76,-4.7,❌ LOS
2025-05-21,1.4,26.72,-4.01,-1.52,-4.59,❌ LOS
2025-08-15,2.97,26.12,1.96,2.62,3.14,✅ WIN
2025-08-22,1.47,26.63,0.65,-1.12,-2.68,❌ LOS
2026-03-06,4.88,26.71,0.15,0.52,2.13,✅ WIN
2026-03-09,1.98,26.55,-0.38,1.09,1.73,✅ WIN
2026-03-11,2.19,26.7,0.79,0.97,0.64,✅ WIN
2026-03-12,1.5,26.75,0.82,1.35,0.52,✅ WIN
2026-03-13,2.5,26.75,0.37,1.57,0.67,✅ WIN
2026-03-19,1.48,26.97,0.52,0.7,-0.19,❌ LOS
2026-04-28,1.7,27.96,1.47,2.18,-1.75,❌ LOS
2026-04-29,2.15,28.11,-0.18,2.21,-1.89,❌ LOS
2026-05-04,1.78,28.29,0.14,-0.32,-4.14,❌ LOS
2026-05-12,1.48,28.57,-1.02,-3.85,-7.84,❌ LOS
2026-05-13,1.41,28.73,-2.65,-4.0,-8.46,❌ LOS
2026-07-15,1.51,27.98,0.89,-1.75,-0.5,❌ LOS
