Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-28,3.83,32.68,-0.92,-2.54,-18.64,❌ LOS
2025-01-29,3.52,32.4,0.71,-1.54,-19.91,❌ LOS
2025-01-30,3.88,32.13,0.22,1.12,-19.14,❌ LOS
2025-09-15,3.13,31.87,-3.01,-3.83,-10.07,❌ LOS
2025-09-16,3.75,32.17,-4.38,-6.09,-11.72,❌ LOS
2025-09-17,3.84,31.68,-1.01,-6.82,-8.62,❌ LOS
2025-09-19,3.46,30.61,2.66,-3.92,-4.92,❌ LOS
2025-11-07,3.43,30.87,-1.65,-3.92,-6.25,❌ LOS
2026-05-08,7.81,28.9,-7.2,-5.09,-5.54,❌ LOS
2026-05-18,3.22,27.98,-5.33,0.64,-2.43,❌ LOS
2026-07-16,3.87,30.45,-6.63,5.45,18.0,✅ WIN
2026-07-28,5.15,32.06,7.64,6.3,8.48,✅ WIN
2026-07-29,4.14,33.33,5.01,0.9,4.41,✅ WIN
2026-08-04,5.72,34.51,-1.25,-1.85,-0.72,❌ LOS
2026-08-05,4.87,35.0,-3.91,-2.89,-1.43,❌ LOS
2026-08-06,4.38,34.54,4.02,-1.56,3.36,✅ WIN
2026-08-07,8.78,34.81,-1.12,-0.98,0.06,✅ WIN
2026-08-10,5.69,34.59,-3.5,0.84,-2.25,❌ LOS
2026-08-11,4.96,34.08,-0.62,2.05,1.5,✅ WIN
2026-08-12,7.09,33.63,1.07,3.48,4.22,✅ WIN
2026-08-13,7.83,35.93,-5.37,-0.14,-1.03,❌ LOS
