Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-11-03,5.43,33.35,16.0,11.42,15.68,✅ WIN
2025-11-04,11.99,36.3,6.99,2.49,6.65,✅ WIN
2025-11-05,11.54,38.1,2.93,-4.42,2.03,✅ WIN
2025-11-06,6.37,37.64,3.7,-5.19,5.07,✅ WIN
2025-11-11,5.09,38.84,-4.21,-4.01,2.95,✅ WIN
2026-01-22,5.55,42.75,1.85,4.32,15.12,✅ WIN
2026-02-04,7.36,46.7,7.74,5.04,-1.14,❌ LOS
2026-02-10,9.23,48.26,3.88,2.65,-5.83,❌ LOS
2026-02-11,16.49,50.31,-2.5,-2.29,-10.94,❌ LOS
2026-02-12,6.92,48.26,1.98,1.23,-8.06,❌ LOS
2026-02-17,4.95,49.66,0.39,-3.96,-9.39,❌ LOS
2026-02-18,5.33,50.13,-1.19,-5.23,-13.27,❌ LOS
2026-02-20,5.51,49.21,-0.73,-9.13,-14.79,❌ LOS
2026-05-05,6.48,48.66,2.64,-4.31,-1.41,❌ LOS
2026-05-06,5.56,49.48,2.18,-4.5,-3.69,❌ LOS
2026-05-11,4.94,49.98,-2.68,-1.04,-5.84,❌ LOS
2026-05-13,5.54,50.55,-6.53,-5.62,-7.35,❌ LOS
