Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-30,26.05,159.83,-0.93,2.77,5.32,✅ WIN
2025-01-31,16.15,158.78,-0.28,3.48,8.49,✅ WIN
2025-02-19,18.82,167.21,1.0,0.15,-2.18,❌ LOS
2025-11-21,16.68,188.79,-3.91,-4.93,-7.8,❌ LOS
2025-11-24,20.19,188.12,-4.21,-5.75,-8.13,❌ LOS
2026-01-14,16.79,185.21,-2.47,-2.37,10.76,✅ WIN
2026-01-15,18.35,188.67,-4.86,-1.7,8.73,✅ WIN
2026-01-16,16.02,187.9,-3.67,-2.37,8.44,✅ WIN
2026-01-20,19.97,187.37,-2.49,-2.0,8.17,✅ WIN
2026-02-10,37.95,203.63,-0.47,1.19,-2.33,❌ LOS
2026-02-11,30.78,207.57,-3.29,0.85,-4.03,❌ LOS
2026-02-12,31.28,205.13,-2.15,2.44,-3.46,❌ LOS
2026-02-13,23.78,205.14,0.27,1.63,-3.83,❌ LOS
2026-02-24,17.65,207.79,-0.56,-4.12,-6.42,❌ LOS
2026-02-27,18.62,210.14,-5.99,-5.76,-7.74,❌ LOS
2026-04-21,21.98,204.21,-4.87,-6.93,-7.14,❌ LOS
