Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-23,25.58,401.07,1.06,-0.68,2.56,✅ WIN
2024-08-29,26.26,403.09,-2.28,0.25,2.49,✅ WIN
2024-10-01,20.26,411.7,-0.17,1.43,0.27,✅ WIN
2024-11-21,35.35,429.18,2.53,1.86,-2.09,❌ LOS
2024-11-22,34.48,433.27,1.26,0.43,-2.94,❌ LOS
2025-01-27,26.05,438.57,-0.64,-0.52,-2.31,❌ LOS
2025-01-31,27.33,436.87,-0.51,0.09,-2.84,❌ LOS
2025-02-03,32.39,435.78,0.11,0.37,-4.07,❌ LOS
2025-05-12,20.48,417.74,0.97,-0.01,1.35,✅ WIN
2025-05-13,19.16,415.07,1.37,0.05,2.0,✅ WIN
2025-05-15,21.99,417.0,-1.03,-0.07,-0.08,❌ LOS
2025-05-19,20.25,421.82,-0.98,-0.47,-1.15,❌ LOS
2025-07-01,22.47,439.67,-0.08,-0.57,0.01,✅ WIN
2025-07-07,23.1,438.79,0.13,-0.09,-0.45,❌ LOS
2025-07-09,20.55,439.3,-0.49,1.32,-0.53,❌ LOS
2025-07-11,19.99,438.36,-0.03,1.27,-0.33,❌ LOS
2025-08-22,27.18,451.73,-0.12,-0.1,1.83,✅ WIN
2025-10-30,24.8,471.4,-1.21,-0.06,0.58,✅ WIN
2025-12-11,30.36,484.78,-1.51,0.05,1.87,✅ WIN
2025-12-12,22.81,482.32,-0.66,0.05,1.57,✅ WIN
