Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-05-07,28.82,100.21,10.63,8.2,10.23,✅ WIN
2025-05-08,18.8,103.18,6.75,5.72,8.35,✅ WIN
2025-05-09,11.65,103.98,7.06,3.57,9.18,✅ WIN
2025-05-12,25.92,108.45,1.96,1.69,7.46,✅ WIN
2025-05-13,19.92,109.32,0.88,0.13,7.31,✅ WIN
2025-05-14,21.07,110.86,-2.2,-0.81,5.02,✅ WIN
2025-05-15,10.77,110.15,-0.97,0.73,5.1,✅ WIN
2025-05-16,15.84,111.33,-3.26,-0.41,5.34,✅ WIN
2025-05-19,9.68,110.58,-0.27,0.83,4.86,✅ WIN
2025-05-20,8.64,110.29,-0.75,1.01,4.89,✅ WIN
2025-05-21,11.87,108.42,1.41,1.87,6.49,✅ WIN
2025-05-22,9.05,109.08,1.72,2.49,5.96,✅ WIN
2025-05-27,13.04,110.29,1.1,5.67,6.74,✅ WIN
2025-06-10,11.26,116.54,-0.51,1.01,2.82,✅ WIN
2025-06-11,9.18,117.31,-1.39,2.06,0.72,✅ WIN
2025-06-13,10.24,115.76,-0.16,5.6,1.31,✅ WIN
2025-06-26,9.7,119.73,2.09,-1.31,0.01,✅ WIN
2025-06-27,11.63,120.59,0.67,-1.94,-1.61,❌ LOS
2025-06-30,11.49,122.24,-1.77,-4.06,-3.31,❌ LOS
2025-12-16,8.66,110.77,1.43,1.93,1.6,✅ WIN
2026-04-17,8.92,105.48,-3.47,-3.02,-3.36,❌ LOS
