Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-20,28.14,79.24,-4.61,-2.85,-5.11,❌ LOS
2024-11-21,13.73,77.57,-2.4,-0.96,-3.29,❌ LOS
2024-11-22,6.15,77.86,-0.1,-1.02,-3.24,❌ LOS
2024-11-25,6.77,77.62,-0.43,-0.73,-2.11,❌ LOS
2024-12-02,4.09,77.78,-0.92,-2.78,-2.55,❌ LOS
2024-12-03,3.88,77.29,-0.3,-1.46,-2.31,❌ LOS
2024-12-04,4.18,78.1,-0.7,-4.1,-2.83,❌ LOS
2024-12-05,3.21,76.99,1.17,-2.33,-1.51,❌ LOS
2024-12-06,3.89,76.82,0.04,-2.35,-1.81,❌ LOS
2024-12-09,5.52,77.07,-1.88,-2.24,-2.88,❌ LOS
2024-12-10,4.64,77.06,-1.16,-1.4,-3.8,❌ LOS
2025-01-15,3.1,78.95,-1.11,7.35,4.02,✅ WIN
2025-01-30,18.17,84.75,-3.31,-3.1,-6.17,❌ LOS
2025-01-31,8.15,81.27,0.16,0.42,-3.03,❌ LOS
2025-02-03,4.35,81.67,0.44,0.82,-3.78,❌ LOS
2025-02-04,3.91,81.88,-0.62,-0.79,-2.18,❌ LOS
2025-02-18,3.87,82.34,-3.33,-4.57,-2.63,❌ LOS
