Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-06,16.66,165.1,2.6,7.08,10.06,✅ WIN
2024-11-07,18.94,169.71,-0.15,4.99,7.97,✅ WIN
2024-11-08,13.97,173.05,-1.27,4.32,3.4,✅ WIN
2024-11-11,13.21,173.87,0.24,5.45,1.56,✅ WIN
2024-11-25,22.1,183.36,-0.91,-3.69,-5.83,❌ LOS
2024-11-26,16.32,184.5,-1.64,-3.5,-6.88,❌ LOS
2025-04-25,13.73,154.32,2.92,4.18,5.15,✅ WIN
2026-02-12,36.4,177.9,-2.57,-1.72,0.29,✅ WIN
2026-02-13,17.46,178.56,-2.7,-1.26,0.84,✅ WIN
2026-02-17,13.87,177.49,-0.92,-0.98,0.96,✅ WIN
2026-04-08,13.55,184.4,5.42,8.2,7.57,✅ WIN
2026-04-14,19.46,194.49,2.8,-0.62,-0.27,❌ LOS
2026-04-15,16.79,194.39,2.64,-0.58,-1.22,❌ LOS
2026-04-16,18.66,197.73,0.48,0.95,-3.12,❌ LOS
2026-04-17,29.83,202.27,-1.78,-1.43,-7.42,❌ LOS
2026-04-20,24.16,202.56,-3.71,-2.65,-7.56,❌ LOS
2026-04-21,22.15,199.94,-3.32,-2.28,-7.45,❌ LOS
2026-04-22,20.22,199.53,-3.14,-0.59,-5.08,❌ LOS
2026-04-23,23.66,198.68,0.47,-2.61,-2.86,❌ LOS
2026-04-24,34.66,198.68,0.35,-2.34,-3.98,❌ LOS
2026-04-30,16.07,199.61,-3.07,-4.03,-5.44,❌ LOS
