Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-26,0.25,10.91,2.35,4.51,2.62,✅ WIN
2024-09-03,0.25,11.17,2.12,9.35,-7.23,❌ LOS
2024-09-04,0.27,11.39,-2.68,5.54,-8.22,❌ LOS
2024-09-13,0.32,11.57,2.3,-7.06,-6.13,❌ LOS
2024-09-16,0.46,12.01,-4.51,-11.89,-10.5,❌ LOS
2024-09-17,0.59,12.21,-8.31,-15.16,-8.87,❌ LOS
2024-09-18,0.42,12.02,-9.18,-13.03,-5.82,❌ LOS
2024-09-19,0.37,12.04,-9.08,-11.05,-6.14,❌ LOS
2024-09-20,0.31,11.84,-9.15,-9.4,-3.58,❌ LOS
2024-10-22,0.26,11.51,-1.33,4.76,-7.08,❌ LOS
2024-10-29,0.24,11.36,6.17,-1.65,-5.04,❌ LOS
2024-11-01,0.28,11.39,-0.91,-5.55,-5.03,❌ LOS
2024-11-05,0.43,12.06,-7.37,-11.3,-12.12,❌ LOS
2024-11-06,0.76,12.27,-12.4,-12.32,-16.02,❌ LOS
2024-11-07,0.38,11.71,-6.54,-6.87,-13.71,❌ LOS
2025-07-22,0.88,4.13,-8.47,-11.86,-12.59,❌ LOS
2025-07-23,1.41,4.32,-12.04,-20.83,-18.98,❌ LOS
2025-07-24,0.32,4.31,-16.01,-26.22,-19.26,❌ LOS
2025-10-22,0.5,4.03,-5.96,-6.45,-8.93,❌ LOS
2025-12-10,0.3,4.7,-5.11,-9.79,-8.94,❌ LOS
2026-02-26,0.68,3.82,-5.24,-15.97,-10.47,❌ LOS
