Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-01-26,25.56,58.94,1.48,9.84,6.45,✅ WIN
2026-03-18,47.42,82.48,5.48,6.3,7.21,✅ WIN
2026-03-19,29.13,85.35,0.32,5.46,0.33,✅ WIN
2026-03-25,110.32,87.0,0.78,0.2,10.18,✅ WIN
2026-03-26,53.67,85.62,5.13,-11.71,11.2,✅ WIN
2026-05-04,37.64,108.81,49.55,35.49,59.06,✅ WIN
2026-05-05,204.58,152.77,1.93,-1.8,13.69,✅ WIN
2026-05-06,88.99,160.99,-1.12,-0.55,12.12,✅ WIN
2026-05-07,73.73,150.43,5.3,5.26,12.92,✅ WIN
2026-05-08,63.59,163.95,-5.54,-3.35,3.28,✅ WIN
2026-05-11,50.26,162.72,-9.4,-1.23,3.45,✅ WIN
2026-05-12,42.68,155.72,-3.66,-3.4,10.11,✅ WIN
2026-05-13,39.87,159.18,0.58,-4.57,9.78,✅ WIN
2026-05-14,52.42,158.4,-0.03,-1.55,7.6,✅ WIN
2026-05-15,44.3,154.87,2.32,12.0,17.06,✅ WIN
2026-05-18,33.04,147.43,9.01,17.39,18.14,✅ WIN
2026-05-19,45.84,150.02,0.27,15.77,18.52,✅ WIN
2026-05-20,56.36,160.11,-5.12,12.73,8.22,✅ WIN
2026-05-21,48.54,158.35,-1.52,7.28,4.98,✅ WIN
2026-05-22,25.83,158.46,9.46,6.85,-0.81,❌ LOS
