Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-26,10.51,85.3,-1.54,11.08,12.27,✅ WIN
2024-12-06,151.53,106.99,-11.69,-11.76,-17.51,❌ LOS
2024-12-09,37.85,102.26,-4.33,-6.32,-12.47,❌ LOS
2024-12-10,22.87,95.85,2.42,-1.04,-5.67,❌ LOS
2024-12-11,12.8,94.75,-2.15,1.08,-4.99,❌ LOS
2024-12-12,7.26,94.52,-0.39,-1.61,-4.69,❌ LOS
2024-12-16,12.07,97.83,-2.08,-8.07,-6.82,❌ LOS
2024-12-17,9.8,98.17,-3.38,-7.97,-8.73,❌ LOS
2024-12-18,12.47,92.71,3.3,-2.7,-1.46,❌ LOS
2024-12-19,8.22,94.15,-1.22,-3.18,-2.54,❌ LOS
2024-12-20,27.63,94.41,-2.87,-6.51,-4.1,❌ LOS
2025-01-28,8.73,97.7,-1.26,-10.01,-15.78,❌ LOS
2025-05-12,9.82,87.86,3.93,-1.83,-12.32,❌ LOS
2025-05-13,11.12,90.34,-0.68,-4.99,-15.61,❌ LOS
2025-05-16,10.1,92.42,-8.45,-3.48,-18.11,❌ LOS
2025-05-20,7.29,89.73,-4.35,4.58,-16.14,❌ LOS
2025-05-30,11.24,88.61,-15.04,-16.42,-12.1,❌ LOS
2025-09-04,7.17,76.24,5.25,11.5,-10.68,❌ LOS
2025-09-05,16.47,79.86,0.41,5.92,-12.68,❌ LOS
2025-09-08,9.19,81.73,-0.2,3.83,-11.7,❌ LOS
2025-09-09,7.51,79.8,2.39,6.29,-12.36,❌ LOS
