Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,20.56,201.81,-0.62,-1.82,-7.18,❌ LOS
2025-01-30,35.07,202.18,-0.37,-1.33,-2.98,❌ LOS
2025-01-31,38.8,200.47,-0.56,-0.66,-4.85,❌ LOS
2025-12-11,24.17,200.33,-2.59,-0.56,1.07,✅ WIN
2025-12-15,15.23,200.35,-0.89,-1.75,1.51,✅ WIN
2025-12-19,18.02,195.28,1.44,3.72,6.29,✅ WIN
2026-02-04,24.05,218.98,5.93,5.68,-1.79,❌ LOS
2026-02-09,20.74,223.93,3.67,2.83,-6.33,❌ LOS
2026-02-10,19.43,228.39,1.13,-1.2,-8.13,❌ LOS
2026-02-11,20.16,231.97,-0.24,-2.54,-12.36,❌ LOS
2026-02-12,28.56,229.48,1.19,-1.97,-11.35,❌ LOS
2026-02-13,24.96,230.53,-0.39,-2.03,-10.25,❌ LOS
2026-02-17,21.97,232.15,-0.81,-5.14,-8.12,❌ LOS
2026-02-18,21.6,230.98,-2.31,-4.19,-8.34,❌ LOS
2026-02-19,17.68,231.42,-2.31,-7.07,-8.84,❌ LOS
2026-02-20,27.55,232.21,-3.13,-10.46,-10.06,❌ LOS
2026-02-23,15.1,229.64,-1.65,-8.34,-7.78,❌ LOS
2026-04-17,24.71,218.53,2.61,3.07,-3.79,❌ LOS
2026-04-23,47.27,227.59,-0.76,-3.18,-8.93,❌ LOS
2026-04-24,16.08,224.23,0.45,-2.2,-6.62,❌ LOS
2026-04-27,14.73,225.68,-2.37,-2.77,-4.79,❌ LOS
