Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-26,3.21,49.53,-0.4,-2.01,-6.82,❌ LOS
2024-09-27,2.95,49.85,0.47,-2.36,-9.77,❌ LOS
2024-09-30,2.85,49.45,-0.02,-2.0,-8.27,❌ LOS
2024-10-01,2.74,49.37,-2.44,-3.61,-9.28,❌ LOS
2024-10-02,3.62,49.49,-2.3,-3.18,-9.77,❌ LOS
2024-10-03,2.26,49.33,-1.61,-2.61,-9.39,❌ LOS
2024-10-04,2.26,50.09,-2.82,-4.03,-11.51,❌ LOS
2026-01-14,2.79,27.93,0.25,-3.89,15.53,✅ WIN
2026-02-03,2.33,30.13,10.2,3.57,7.32,✅ WIN
2026-02-04,3.28,32.02,4.94,-3.12,5.31,✅ WIN
2026-02-09,1.69,31.7,-2.06,-3.21,6.89,✅ WIN
2026-02-10,2.32,33.21,-6.01,-10.65,3.5,✅ WIN
2026-02-11,2.44,33.6,-7.68,-12.06,11.84,✅ WIN
2026-02-12,2.25,32.27,-6.52,-4.77,13.49,✅ WIN
