Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-18,24.52,431.63,5.46,3.89,0.74,✅ WIN
2024-11-25,40.28,455.18,-1.48,-3.2,-7.84,❌ LOS
2025-01-30,36.91,438.78,4.38,6.45,8.63,✅ WIN
2025-01-31,20.41,437.14,3.92,6.13,7.73,✅ WIN
2025-02-03,29.42,443.69,4.19,4.76,5.69,✅ WIN
2025-02-04,29.67,453.5,1.74,2.02,2.2,✅ WIN
2025-02-05,31.26,442.62,3.68,3.74,5.61,✅ WIN
2025-02-06,27.5,458.01,1.98,-1.74,0.32,✅ WIN
2025-02-07,19.36,454.29,2.13,-2.38,-5.72,❌ LOS
2025-02-13,31.97,467.08,-3.65,2.05,-10.95,❌ LOS
2025-02-14,28.99,463.95,-4.41,1.5,-5.29,❌ LOS
2025-02-18,43.13,464.8,-1.55,0.89,-4.82,❌ LOS
2025-02-19,33.21,462.67,0.79,0.17,-2.48,❌ LOS
2025-04-03,19.7,453.25,-2.31,0.64,4.49,✅ WIN
2025-04-25,41.59,476.51,-0.61,-1.78,-1.47,❌ LOS
2025-04-28,71.77,479.5,-2.61,-1.74,-1.24,❌ LOS
2025-04-29,39.15,482.23,-2.83,-1.83,-2.09,❌ LOS
2025-07-21,19.65,453.5,2.61,1.24,-3.76,❌ LOS
2025-07-22,24.62,471.87,-2.27,-7.04,-6.32,❌ LOS
2025-12-15,25.97,432.63,-2.2,-3.56,-6.88,❌ LOS
