Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-01-29,4.97,39.45,8.09,10.07,8.99,✅ WIN
2026-02-02,8.15,39.65,8.32,9.72,9.62,✅ WIN
2026-02-03,8.61,40.61,5.77,8.1,5.79,✅ WIN
2026-02-04,9.57,42.86,3.62,2.93,2.6,✅ WIN
2026-02-05,7.01,42.64,1.83,2.83,3.03,✅ WIN
2026-02-06,6.85,43.27,1.94,-0.32,2.31,✅ WIN
2026-02-11,5.34,44.41,-0.67,-5.12,2.74,✅ WIN
2026-02-12,5.01,43.42,0.98,-0.98,5.76,✅ WIN
2026-02-18,5.64,43.9,-4.1,-2.14,8.94,✅ WIN
2026-03-16,4.98,46.32,3.94,10.44,-3.0,❌ LOS
2026-03-17,6.31,47.09,6.01,6.12,-4.62,❌ LOS
2026-03-18,8.05,47.82,4.67,0.89,-4.94,❌ LOS
2026-03-19,9.46,48.45,5.25,1.43,-9.35,❌ LOS
2026-03-20,11.81,48.32,7.01,2.03,-7.64,❌ LOS
2026-03-24,7.33,49.91,0.1,-4.69,-6.27,❌ LOS
2026-03-26,4.99,50.99,-3.62,-6.93,-6.64,❌ LOS
2026-03-27,5.66,51.7,-4.65,-9.22,-7.43,❌ LOS
2026-03-30,4.89,51.16,-3.05,-12.17,-3.96,❌ LOS
2026-03-31,5.27,49.96,-4.79,-10.12,1.51,✅ WIN
2026-05-04,5.19,50.9,-8.84,-3.08,-9.83,❌ LOS
2026-05-05,6.55,50.63,-8.28,-2.55,-9.43,❌ LOS
