Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-23,3.82,87.7,-0.09,0.71,1.23,✅ WIN
2025-05-02,9.25,81.62,3.74,4.73,4.77,✅ WIN
2025-05-05,3.69,80.27,5.95,8.33,8.12,✅ WIN
2025-05-06,3.72,81.53,3.16,7.13,5.0,✅ WIN
2025-05-07,3.67,83.35,3.8,1.85,2.87,✅ WIN
2025-05-08,7.11,85.34,0.39,-0.6,1.56,✅ WIN
2025-05-09,4.44,84.67,0.96,-0.19,1.19,✅ WIN
2025-05-12,5.51,85.05,2.25,0.33,-0.27,❌ LOS
2025-05-13,6.57,84.11,3.84,3.41,-1.33,❌ LOS
2025-05-14,4.58,86.52,-1.88,-1.92,-4.24,❌ LOS
2025-05-16,3.63,85.48,-1.13,0.04,-2.9,❌ LOS
2025-05-20,3.61,87.34,-0.41,-1.98,-7.25,❌ LOS
2025-12-10,4.3,67.56,-2.68,-0.21,-0.24,❌ LOS
2025-12-11,5.17,68.94,-4.4,-1.99,2.96,✅ WIN
2026-01-12,4.83,70.98,-0.35,3.79,-3.97,❌ LOS
2026-01-22,8.5,73.92,0.11,-5.45,-1.14,❌ LOS
2026-01-26,3.7,73.34,-1.1,-4.34,-0.34,❌ LOS
