Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-21,3.27,84.4,-0.26,0.22,1.97,✅ WIN
2024-08-23,3.8,84.6,-0.45,0.02,1.24,✅ WIN
2024-09-18,2.27,85.69,-0.21,0.33,-0.23,❌ LOS
2025-01-31,2.26,84.86,0.6,0.98,1.92,✅ WIN
2025-02-04,2.35,85.3,-0.34,0.06,1.21,✅ WIN
2025-04-29,2.5,86.06,-0.72,0.09,0.11,✅ WIN
2025-05-12,2.02,86.07,0.34,0.31,1.41,✅ WIN
2025-06-11,2.4,87.54,-0.34,0.93,0.88,✅ WIN
2025-06-12,2.02,87.69,-0.38,0.67,0.72,✅ WIN
2025-06-24,2.74,88.13,0.93,0.88,0.95,✅ WIN
2025-06-30,4.03,88.77,-0.55,-0.78,0.83,✅ WIN
2025-07-01,2.72,88.95,-0.04,-0.9,0.47,✅ WIN
2025-07-02,1.98,88.86,-0.1,-0.69,0.58,✅ WIN
2025-08-01,2.26,89.63,0.71,1.22,1.51,✅ WIN
2025-08-05,2.44,90.08,0.54,0.86,1.05,✅ WIN
2025-08-13,2.14,91.01,-0.33,-0.46,1.91,✅ WIN
2025-09-05,2.05,92.0,0.52,0.23,0.89,✅ WIN
2025-09-10,2.36,92.41,0.32,0.34,0.33,✅ WIN
2025-09-11,3.55,92.75,-0.47,-0.28,-0.09,❌ LOS
2025-09-17,2.28,92.7,0.02,0.04,0.51,✅ WIN
2025-10-30,2.19,94.07,-0.11,-0.04,0.68,✅ WIN
