Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-26,2.0,113.61,-6.0,-12.69,-28.62,❌ LOS
2024-09-27,3.44,115.0,-7.87,-12.2,-27.1,❌ LOS
2024-09-30,2.36,113.02,-5.89,-10.22,-25.08,❌ LOS
2024-12-02,1.29,75.12,1.69,-4.66,-8.57,❌ LOS
2024-12-09,2.3,76.39,-6.24,-4.44,-8.81,❌ LOS
2024-12-10,1.37,74.45,-1.41,-1.57,-10.36,❌ LOS
2026-01-22,3.6,40.48,-5.51,16.77,15.02,✅ WIN
2026-01-23,1.47,39.46,-6.28,26.2,20.12,✅ WIN
2026-02-04,32.87,51.67,-6.66,-14.36,-20.36,❌ LOS
2026-02-05,4.8,47.27,-6.62,-1.5,-14.89,❌ LOS
2026-02-06,6.17,49.8,-12.67,-4.82,-17.95,❌ LOS
2026-02-09,4.17,50.3,-9.26,-1.11,-13.34,❌ LOS
2026-02-10,4.62,50.25,-8.38,-3.5,-13.75,❌ LOS
2026-02-11,2.26,48.23,-8.25,-5.1,-11.67,❌ LOS
2026-02-12,1.17,44.14,5.48,-4.24,-0.16,❌ LOS
2026-02-20,1.9,46.56,-9.21,-13.6,-5.26,❌ LOS
2026-02-23,1.79,47.4,-5.68,-13.8,-14.01,❌ LOS
2026-02-24,3.05,49.74,-13.15,-12.36,-17.63,❌ LOS
