Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2026-01-15,59.86,113.37,1.03,4.08,15.85,✅ WIN
2026-01-16,52.91,117.17,-1.47,1.9,10.5,✅ WIN
2026-01-20,44.18,114.83,4.7,-1.05,14.78,✅ WIN
2026-01-21,45.04,119.56,0.84,-6.04,10.89,✅ WIN
2026-01-22,32.61,118.34,3.62,-6.83,13.57,✅ WIN
2026-01-23,22.69,114.54,3.01,6.77,19.02,✅ WIN
2026-01-27,20.62,120.23,-5.49,10.91,14.16,✅ WIN
2026-01-28,26.98,120.57,-6.83,14.21,9.57,✅ WIN
2026-01-29,23.56,122.63,-10.09,6.67,7.94,✅ WIN
2026-02-10,23.78,133.35,-1.16,2.92,-12.93,❌ LOS
2026-04-08,19.55,129.51,5.71,14.14,20.35,✅ WIN
