Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-13,6.84,26.29,-4.54,-9.41,-7.28,❌ LOS
2026-03-02,11.09,31.75,1.12,11.1,32.21,✅ WIN
2026-03-03,6.39,30.93,3.81,18.21,35.04,✅ WIN
2026-03-05,7.08,31.44,8.22,27.55,31.45,✅ WIN
2026-03-06,9.97,33.25,4.94,23.85,24.89,✅ WIN
2026-03-09,9.96,32.1,9.87,21.4,29.73,✅ WIN
2026-03-10,6.52,32.11,13.87,23.15,21.24,✅ WIN
2026-03-12,6.91,34.02,17.86,19.64,13.35,✅ WIN
2026-03-13,8.01,34.89,18.01,17.82,11.21,✅ WIN
2026-03-17,5.21,36.57,8.15,14.24,-0.32,❌ LOS
2026-03-18,13.11,38.14,4.96,4.83,-0.67,❌ LOS
2026-03-19,24.48,40.1,1.51,3.06,-12.44,❌ LOS
2026-03-20,13.57,41.18,-0.17,0.84,-13.44,❌ LOS
2026-03-23,12.49,38.97,7.7,6.86,-4.37,❌ LOS
2026-03-24,10.0,39.55,5.63,-1.55,-4.96,❌ LOS
2026-03-25,7.3,40.03,-0.12,-4.67,-4.53,❌ LOS
2026-03-27,6.65,41.11,1.01,-5.61,-8.38,❌ LOS
2026-03-30,6.8,41.97,-0.78,-10.38,-9.17,❌ LOS
2026-03-31,7.85,41.77,-6.8,-12.75,-5.05,❌ LOS
2026-04-01,5.64,39.98,-4.56,-5.25,0.89,✅ WIN
