Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-29,24.88,94.77,-0.29,-1.01,-5.52,❌ LOS
2026-01-06,25.66,107.61,-0.07,7.48,11.76,✅ WIN
2026-01-21,25.57,115.66,8.56,3.98,16.9,✅ WIN
2026-01-28,32.77,125.56,-4.22,4.01,19.79,✅ WIN
2026-01-29,26.63,124.5,-3.45,5.06,21.58,✅ WIN
2026-02-20,27.87,141.88,6.69,-10.68,-11.35,❌ LOS
2026-02-24,27.56,144.55,-8.45,-9.86,-10.93,❌ LOS
2026-02-25,32.04,148.89,-9.75,-10.77,-14.21,❌ LOS
2026-02-26,75.71,150.41,-16.4,-17.89,-20.22,❌ LOS
2026-02-27,26.9,151.37,-16.28,-17.98,-20.08,❌ LOS
2026-03-02,39.13,147.54,-9.25,-9.79,-21.09,❌ LOS
