Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-11-05,4.02,31.01,3.49,1.21,8.16,✅ WIN
2025-11-11,6.14,32.36,-2.33,-2.81,-2.15,❌ LOS
2025-11-12,3.88,32.1,-2.2,0.75,-0.18,❌ LOS
2025-11-14,3.83,32.06,-3.47,0.66,1.21,✅ WIN
2026-01-20,3.48,33.62,12.7,13.15,13.12,✅ WIN
2026-01-21,6.87,35.02,9.45,5.6,10.25,✅ WIN
2026-01-22,10.15,35.95,6.04,2.67,9.51,✅ WIN
2026-01-23,8.18,36.59,1.23,2.65,5.96,✅ WIN
2026-01-26,7.0,36.61,2.29,4.94,7.81,✅ WIN
2026-01-27,9.39,37.89,0.4,1.13,4.49,✅ WIN
2026-01-28,10.85,38.33,-3.52,2.17,2.01,✅ WIN
2026-01-29,8.57,38.12,-3.17,0.97,1.6,✅ WIN
2026-01-30,6.16,37.04,1.4,2.75,4.32,✅ WIN
2026-02-02,3.5,37.45,2.59,0.77,-1.68,❌ LOS
2026-02-03,8.92,38.04,0.74,-0.03,-1.45,❌ LOS
2026-02-04,4.94,36.98,5.9,4.41,-1.68,❌ LOS
2026-02-06,4.17,37.56,1.33,3.22,-1.22,❌ LOS
2026-02-09,4.53,38.42,-1.77,2.73,-2.32,❌ LOS
