Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-11,0.71,3.85,-6.23,-5.71,-17.66,❌ LOS
2024-12-12,0.83,4.02,-11.44,-13.68,-20.9,❌ LOS
2024-12-13,0.43,3.87,-6.98,-10.08,-12.14,❌ LOS
2024-12-16,0.41,3.8,-6.84,-11.84,-11.84,❌ LOS
2024-12-17,0.41,3.86,-8.81,-9.33,-11.92,❌ LOS
2025-02-03,0.5,3.65,5.75,-0.27,2.19,✅ WIN
2025-02-04,0.81,3.83,-0.78,-6.79,-2.87,❌ LOS
2025-02-06,0.44,3.81,3.15,-14.44,-6.82,❌ LOS
2025-02-10,0.43,3.86,-5.7,-19.17,-13.73,❌ LOS
2025-02-11,0.46,3.8,-6.05,-16.58,-10.79,❌ LOS
2025-02-28,0.65,3.88,-8.39,-11.74,-19.74,❌ LOS
2025-05-08,0.43,3.06,-21.9,-23.86,-23.86,❌ LOS
2025-06-27,0.91,2.55,-4.31,-14.12,-11.76,❌ LOS
2026-06-18,0.9,1.56,3.85,19.23,14.1,✅ WIN
2026-06-22,0.49,1.64,7.32,4.27,8.54,✅ WIN
2026-06-26,0.45,1.62,14.81,10.49,11.73,✅ WIN
