Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-20,6.69,32.19,-1.34,-1.15,0.27,✅ WIN
2026-02-24,7.42,43.47,3.98,8.75,19.13,✅ WIN
2026-02-27,8.32,45.88,1.75,9.42,19.01,✅ WIN
2026-03-02,10.16,46.29,2.05,8.93,19.13,✅ WIN
2026-03-09,6.96,47.24,6.75,10.51,20.46,✅ WIN
2026-03-10,6.56,47.27,11.04,9.55,15.7,✅ WIN
2026-03-13,7.33,50.2,6.19,8.77,10.32,✅ WIN
2026-03-16,7.9,50.43,3.53,9.36,8.61,✅ WIN
2026-03-17,16.21,52.49,-1.34,6.64,2.14,✅ WIN
2026-03-18,9.28,51.79,2.82,4.77,5.74,✅ WIN
2026-03-19,11.75,53.5,-0.0,5.54,-3.42,❌ LOS
2026-03-20,14.65,53.31,2.42,6.86,-2.53,❌ LOS
2026-03-23,7.15,52.21,5.63,9.0,0.56,✅ WIN
2026-03-24,13.17,51.78,8.1,5.61,3.55,✅ WIN
2026-03-25,6.26,53.26,1.89,3.38,1.47,✅ WIN
2026-03-27,7.29,54.6,4.33,1.43,-2.63,❌ LOS
2026-03-30,6.36,55.15,3.19,-0.68,-1.76,❌ LOS
2026-03-31,11.34,55.98,-2.3,-4.22,-2.07,❌ LOS
2026-04-07,6.9,56.91,-3.75,-7.75,-1.82,❌ LOS
