Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-04,18.61,187.18,0.18,-5.46,-9.66,❌ LOS
2024-10-07,20.5,191.89,-4.41,-8.57,-9.89,❌ LOS
2024-10-08,38.23,186.38,-7.23,-5.03,-9.36,❌ LOS
2025-01-13,17.15,171.68,-0.37,-4.71,-8.78,❌ LOS
2025-06-13,18.71,151.84,-8.88,-11.3,-10.99,❌ LOS
2026-02-04,16.08,167.99,0.01,3.39,6.58,✅ WIN
2026-02-11,20.44,168.01,3.38,-1.2,5.36,✅ WIN
2026-02-20,18.6,174.96,-1.1,3.19,10.05,✅ WIN
2026-02-23,17.05,172.79,2.96,5.83,10.99,✅ WIN
2026-03-02,25.44,177.9,2.79,2.49,11.67,✅ WIN
2026-03-03,23.85,176.48,1.07,6.09,12.08,✅ WIN
2026-03-05,21.64,179.04,-1.13,6.29,8.29,✅ WIN
2026-03-06,19.79,180.54,1.01,6.65,7.6,✅ WIN
2026-03-09,24.19,182.86,-0.29,4.88,6.91,✅ WIN
2026-03-18,15.84,189.68,3.34,0.5,-1.6,❌ LOS
2026-03-20,16.2,192.54,4.83,0.9,-4.72,❌ LOS
2026-03-26,16.87,202.19,-4.11,-6.91,-3.66,❌ LOS
2026-03-27,23.38,201.84,-3.75,-6.31,-2.69,❌ LOS
2026-03-30,17.19,198.65,-1.59,-6.11,0.71,✅ WIN
2026-03-31,21.29,197.79,-5.72,-6.03,3.81,✅ WIN
