Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-24,10.97,47.62,3.41,-0.27,-0.08,❌ LOS
2024-09-26,24.11,50.74,-4.12,-4.57,-9.49,❌ LOS
2024-09-27,10.31,50.18,-1.54,-2.55,-8.95,❌ LOS
2025-07-08,9.98,45.74,-4.33,-0.69,-13.2,❌ LOS
2025-12-11,9.61,47.88,-0.39,10.25,22.03,✅ WIN
2026-01-05,12.29,54.16,7.9,10.68,19.15,✅ WIN
2026-01-06,18.23,55.89,5.68,8.16,10.44,✅ WIN
2026-01-07,9.61,55.24,8.74,6.3,6.97,✅ WIN
2026-01-09,9.52,56.27,4.12,8.48,12.8,✅ WIN
2026-01-12,11.37,58.44,2.57,7.35,8.02,✅ WIN
2026-01-13,10.83,59.06,2.34,7.5,10.59,✅ WIN
2026-01-21,12.46,60.45,5.03,2.11,3.28,✅ WIN
2026-01-22,10.07,58.72,10.67,0.63,9.33,✅ WIN
2026-01-23,10.37,60.28,-0.3,0.43,8.51,✅ WIN
2026-01-26,9.81,61.04,-0.67,3.99,10.97,✅ WIN
2026-01-29,20.54,64.99,-9.07,-4.74,4.53,✅ WIN
