Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-06-05,28.95,128.02,-1.59,-3.65,1.0,✅ WIN
2025-08-28,49.96,150.03,2.25,-6.75,3.15,✅ WIN
2025-12-03,28.12,163.15,8.59,9.43,18.57,✅ WIN
2025-12-04,62.21,168.42,7.71,8.09,16.76,✅ WIN
2025-12-05,36.67,173.2,5.89,5.12,16.82,✅ WIN
2025-12-08,27.71,174.62,4.03,6.83,14.88,✅ WIN
2026-01-06,30.33,202.34,-0.69,-3.17,-4.65,❌ LOS
2026-01-07,30.12,200.61,-1.58,-4.63,-3.25,❌ LOS
2026-01-12,30.03,203.61,-6.09,-8.04,1.51,✅ WIN
2026-02-18,34.84,214.36,4.08,2.87,-0.88,❌ LOS
2026-02-20,43.98,220.09,1.56,-2.19,3.33,✅ WIN
2026-02-26,28.69,225.12,-1.54,-3.59,0.74,✅ WIN
2026-03-19,41.52,235.17,-3.56,0.09,0.46,✅ WIN
2026-04-20,45.39,247.71,-5.43,-6.71,-11.85,❌ LOS
2026-06-03,28.23,222.89,-12.13,-14.19,-18.15,❌ LOS
