Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-08,3.45,36.82,3.39,9.51,12.98,✅ WIN
2024-11-11,4.66,39.67,-6.58,3.28,6.48,✅ WIN
2024-11-12,2.73,39.27,-4.05,4.13,9.6,✅ WIN
2024-11-13,5.57,40.35,-5.82,3.12,7.58,✅ WIN
2024-11-14,1.76,38.96,-1.28,5.95,8.34,✅ WIN
2024-11-15,1.4,38.07,5.91,9.19,11.93,✅ WIN
2024-11-22,1.36,40.32,3.1,3.17,5.36,✅ WIN
2024-11-25,2.54,40.97,1.2,3.1,3.47,✅ WIN
2024-11-26,1.3,40.89,3.84,5.26,3.64,✅ WIN
2024-11-27,0.98,41.61,0.38,4.33,-0.46,❌ LOS
2024-12-09,1.06,41.6,2.43,2.12,-6.39,❌ LOS
2024-12-10,0.98,42.24,1.16,0.36,-11.03,❌ LOS
2025-02-04,2.26,42.67,-4.72,-1.98,-19.51,❌ LOS
2025-02-05,1.42,42.82,-3.78,-2.64,-23.19,❌ LOS
2025-02-21,1.22,42.09,-13.99,-22.83,-28.39,❌ LOS
