Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-16,0.78,17.46,4.81,6.53,-2.35,❌ LOS
2025-01-21,0.94,17.44,13.25,6.02,1.2,✅ WIN
2025-01-23,1.12,18.04,3.1,1.77,-4.05,❌ LOS
2025-01-24,1.82,18.3,1.64,-2.24,-6.01,❌ LOS
2025-01-27,1.8,17.99,2.61,1.72,-5.45,❌ LOS
2025-01-28,4.72,19.75,-6.38,-9.57,-12.35,❌ LOS
2025-01-29,3.46,19.3,-4.15,-7.77,-11.55,❌ LOS
2025-01-30,2.08,18.6,-1.29,-6.29,-8.28,❌ LOS
2025-01-31,1.87,18.6,-3.82,-8.33,-12.2,❌ LOS
2025-02-03,1.5,18.46,-0.87,-4.66,-11.38,❌ LOS
2025-02-04,0.87,18.49,-3.41,-4.54,-10.06,❌ LOS
2025-04-29,0.89,14.34,-0.42,11.44,4.81,✅ WIN
2025-04-30,1.29,14.77,-3.72,6.57,1.49,✅ WIN
2025-05-12,1.3,15.67,-5.23,-4.98,1.4,✅ WIN
2025-05-13,1.35,15.98,-7.76,-5.94,-2.19,❌ LOS
2026-06-01,1.13,10.68,-11.89,-10.96,-5.24,❌ LOS
