Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-26,46.02,255.66,-8.03,-19.8,-23.32,❌ LOS
2024-09-27,36.53,255.75,-9.63,-17.31,-22.4,❌ LOS
2025-05-13,89.86,191.6,-12.72,-18.35,-12.39,❌ LOS
2025-05-14,34.24,192.98,-15.34,-19.19,-13.03,❌ LOS
2025-08-18,60.78,219.33,-9.07,-10.74,-6.42,❌ LOS
2025-10-15,36.96,244.4,-8.61,-1.1,9.46,✅ WIN
2025-10-31,104.98,266.94,0.26,-5.19,-1.27,❌ LOS
2025-11-03,44.11,265.71,2.61,-4.58,-1.19,❌ LOS
2025-11-05,54.78,277.39,-3.56,-9.2,-7.25,❌ LOS
2025-11-10,35.42,272.64,-7.01,-4.69,-7.05,❌ LOS
2025-12-22,38.76,284.59,-7.13,-15.28,-15.78,❌ LOS
