Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-19,0.61,1.8,8.89,-8.33,-9.44,❌ LOS
2025-01-06,48.98,5.06,-24.7,-28.46,-11.86,❌ LOS
2025-01-07,19.28,5.46,-28.02,-26.92,-26.01,❌ LOS
2025-01-08,7.47,5.35,-25.42,-24.49,-26.17,❌ LOS
2025-01-10,3.6,5.11,-25.24,-27.79,-24.66,❌ LOS
2025-01-13,1.46,4.45,-17.53,-11.24,-16.4,❌ LOS
2025-01-14,0.98,3.81,-4.99,7.09,-4.2,❌ LOS
2025-01-15,0.66,3.93,1.53,4.83,-0.76,❌ LOS
2025-01-16,0.56,3.99,1.25,1.25,1.75,✅ WIN
2025-01-17,0.51,3.82,-3.4,8.9,6.28,✅ WIN
2025-01-23,0.67,3.99,3.26,1.25,-5.76,❌ LOS
2025-05-27,0.51,3.62,-3.31,-9.39,-6.63,❌ LOS
2025-05-28,0.56,3.77,-4.77,-10.61,-8.49,❌ LOS
2025-07-30,1.48,4.16,-10.1,-9.62,-18.03,❌ LOS
2025-07-31,0.63,3.98,-7.04,-7.04,-12.56,❌ LOS
2025-09-11,0.55,4.16,5.29,-1.68,-7.93,❌ LOS
2025-09-15,0.61,4.36,4.59,-2.06,-12.39,❌ LOS
2025-09-18,0.67,4.38,-6.62,-9.82,-15.98,❌ LOS
2025-09-19,0.48,4.35,-3.45,-8.97,-16.32,❌ LOS
2025-09-22,0.52,4.56,-6.36,-14.04,-19.96,❌ LOS
2025-09-23,0.59,4.45,-6.74,-13.03,-17.98,❌ LOS
