Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-07-29,32.98,61.4,1.92,6.08,8.74,✅ WIN
2026-01-27,81.68,109.54,2.78,16.73,46.19,✅ WIN
2026-01-28,38.64,104.09,5.19,27.45,44.13,✅ WIN
2026-02-02,31.22,110.15,19.06,18.27,33.97,✅ WIN
2026-02-06,36.65,121.93,9.25,18.9,5.84,✅ WIN
2026-02-09,62.16,131.15,-0.66,15.37,3.87,✅ WIN
2026-02-10,41.67,127.86,3.05,25.24,3.05,✅ WIN
2026-02-11,36.84,132.65,-2.19,13.09,-2.17,❌ LOS
2026-02-12,41.34,131.26,6.09,14.57,-1.63,❌ LOS
2026-02-13,36.99,133.21,8.83,18.5,-0.87,❌ LOS
2026-02-20,32.97,139.25,7.99,-11.46,-10.54,❌ LOS
2026-02-23,49.43,144.98,8.88,-10.99,-9.66,❌ LOS
2026-02-24,43.81,151.31,-2.47,-9.97,-6.14,❌ LOS
2026-02-25,70.34,160.13,-9.55,-17.72,-8.61,❌ LOS
2026-02-26,46.9,150.02,-10.19,-13.5,-9.8,❌ LOS
2026-04-08,44.21,165.1,1.92,2.22,9.98,✅ WIN
2026-04-09,35.69,169.8,-2.19,-0.18,7.42,✅ WIN
2026-04-10,36.46,171.24,-4.01,2.72,9.17,✅ WIN
