Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-07-22,11.4,128.7,0.11,-0.56,4.08,✅ WIN
2025-09-04,9.25,136.36,1.82,-1.65,0.12,✅ WIN
2026-01-15,15.74,133.47,1.08,2.08,8.08,✅ WIN
2026-01-16,9.14,134.23,1.64,3.15,-8.18,❌ LOS
2026-01-21,9.37,133.55,2.77,8.6,-12.38,❌ LOS
2026-01-22,10.13,134.14,1.49,6.85,-13.72,❌ LOS
2026-01-23,10.35,134.91,0.99,7.91,-15.6,❌ LOS
2026-01-26,13.8,136.43,1.49,4.91,-14.63,❌ LOS
2026-01-27,18.58,136.63,2.48,5.24,-16.11,❌ LOS
2026-01-28,19.95,137.25,5.66,6.6,-16.54,❌ LOS
2026-01-29,10.27,136.14,5.28,6.29,-14.13,❌ LOS
2026-01-30,17.58,136.24,6.85,5.88,-14.71,❌ LOS
2026-02-03,11.4,140.02,2.69,-15.35,-19.04,❌ LOS
2026-02-04,16.09,145.03,0.89,-19.32,-20.84,❌ LOS
2026-02-05,11.42,143.32,0.96,-19.25,-20.27,❌ LOS
2026-02-09,13.44,143.14,-13.89,-18.63,-24.7,❌ LOS
2026-02-11,10.67,146.31,-20.03,-21.71,-27.65,❌ LOS
2026-02-12,14.34,144.69,-20.02,-19.21,-27.71,❌ LOS
