Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-19,5.74,112.32,2.39,1.86,-3.06,❌ LOS
2024-11-20,4.19,112.43,3.96,0.89,-3.49,❌ LOS
2024-11-25,5.21,116.1,-0.28,-2.38,-4.52,❌ LOS
2024-11-27,4.73,116.88,-2.96,-3.02,-5.69,❌ LOS
2025-05-15,3.85,81.64,-8.75,-8.88,-9.79,❌ LOS
2025-08-22,4.42,88.84,-1.32,-2.88,-3.12,❌ LOS
2025-12-11,3.71,81.09,0.55,-1.62,-2.44,❌ LOS
2026-02-18,6.33,80.68,-4.09,-4.54,-14.02,❌ LOS
2026-02-20,4.69,81.89,-7.29,-7.36,-16.67,❌ LOS
2026-07-01,4.44,75.05,-0.89,7.25,15.71,✅ WIN
2026-07-02,6.48,78.63,-3.29,-1.03,6.93,✅ WIN
