Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-27,12.79,41.52,0.25,-0.86,-8.13,❌ LOS
2025-05-30,5.24,39.91,0.41,-0.41,-6.41,❌ LOS
2025-09-30,6.7,42.44,0.79,2.29,1.25,✅ WIN
2025-10-01,11.14,44.76,-4.75,-3.8,0.92,✅ WIN
2025-10-02,5.92,42.97,-0.57,0.18,7.44,✅ WIN
2025-10-03,5.71,42.63,0.44,1.29,8.1,✅ WIN
2025-10-29,5.21,45.17,1.65,4.66,5.46,✅ WIN
2026-02-04,12.45,56.77,2.2,6.33,-2.65,❌ LOS
2026-02-05,21.75,58.7,-1.06,1.4,-7.13,❌ LOS
2026-02-06,15.86,59.75,-2.16,-0.82,-7.09,❌ LOS
2026-02-09,13.78,58.54,3.15,0.99,-5.5,❌ LOS
2026-02-10,14.47,58.35,4.01,2.04,-5.48,❌ LOS
2026-02-11,9.35,58.02,4.03,0.08,-6.45,❌ LOS
2026-02-12,7.88,58.07,2.49,1.82,-8.06,❌ LOS
2026-02-13,7.38,58.46,1.37,-0.29,-8.02,❌ LOS
2026-02-17,8.26,60.38,-2.09,-5.49,-11.55,❌ LOS
2026-02-18,8.71,60.69,-1.9,-6.36,-14.22,❌ LOS
2026-02-19,7.25,60.36,-3.8,-8.44,-13.24,❌ LOS
2026-02-20,8.44,59.52,-0.66,-8.42,-12.9,❌ LOS
2026-02-23,6.8,59.26,-1.64,-6.33,-12.27,❌ LOS
