Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-12-11,2.79,28.86,-5.7,-3.98,9.55,✅ WIN
2026-01-05,12.5,31.63,-0.06,0.44,6.11,✅ WIN
2026-01-06,4.17,30.55,5.77,8.21,11.39,✅ WIN
2026-01-07,3.6,30.11,8.76,10.99,11.39,✅ WIN
2026-01-08,6.41,31.88,1.9,5.53,8.73,✅ WIN
2026-01-09,4.49,32.34,-0.18,4.69,6.96,✅ WIN
2026-01-12,3.97,31.61,0.5,7.4,6.65,✅ WIN
2026-01-13,4.36,32.32,2.3,2.3,7.42,✅ WIN
2026-01-14,5.52,32.74,2.06,1.06,3.78,✅ WIN
2026-01-15,3.33,32.48,3.57,2.26,3.6,✅ WIN
2026-01-16,3.42,32.28,4.88,0.8,3.5,✅ WIN
2026-01-20,5.0,31.77,6.86,5.65,8.45,✅ WIN
2026-01-21,9.33,33.06,0.0,2.94,6.03,✅ WIN
2026-01-22,6.23,33.42,-0.98,0.36,4.12,✅ WIN
2026-01-23,4.35,33.64,-1.27,3.03,3.8,✅ WIN
2026-03-26,5.15,38.63,-1.6,-3.09,4.05,✅ WIN
2026-03-27,4.64,40.25,-6.43,-4.48,-0.72,❌ LOS
2026-03-30,3.01,39.09,-1.38,-4.46,3.95,✅ WIN
2026-04-02,2.79,38.01,-1.52,-2.67,9.14,✅ WIN
2026-04-29,3.33,41.63,-3.37,-1.89,-5.93,❌ LOS
2026-04-30,4.3,42.12,-7.52,-2.39,-8.16,❌ LOS
