Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-19,1.49,22.48,0.65,0.19,1.63,✅ WIN
2025-02-26,1.9,22.62,-0.46,-1.18,0.86,✅ WIN
2025-08-21,1.69,23.6,0.11,-0.49,0.02,✅ WIN
2025-08-22,2.61,23.82,-0.23,-1.8,-1.43,❌ LOS
2025-08-25,1.64,23.61,0.57,-0.61,0.03,✅ WIN
2026-01-15,2.22,24.89,1.32,4.15,9.33,✅ WIN
2026-01-29,2.51,25.63,3.85,5.9,7.23,✅ WIN
2026-02-02,1.99,25.94,3.55,4.04,4.62,✅ WIN
2026-02-03,2.22,26.35,2.28,2.92,2.67,✅ WIN
2026-02-04,2.74,26.6,2.67,1.85,0.67,✅ WIN
2026-02-05,2.59,26.62,1.97,1.61,0.21,✅ WIN
2026-02-06,2.25,26.88,1.23,1.28,-0.79,❌ LOS
2026-02-09,2.65,26.87,0.47,1.52,-1.13,❌ LOS
2026-02-11,1.95,27.31,-0.8,-0.58,-2.88,❌ LOS
2026-02-12,1.69,27.14,-0.35,1.26,-1.86,❌ LOS
2026-07-20,1.63,28.08,1.99,1.63,3.66,✅ WIN
2026-07-24,1.99,28.65,-0.07,0.1,4.06,✅ WIN
