Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-22,30.64,401.92,2.19,2.72,-6.07,❌ LOS
2024-11-25,32.19,410.21,0.69,-0.9,-7.1,❌ LOS
2024-11-26,27.17,411.03,0.15,-1.38,-7.52,❌ LOS
2024-12-06,22.07,414.97,-3.34,-8.99,-10.93,❌ LOS
2024-12-11,26.46,405.36,-6.54,-6.23,-7.64,❌ LOS
2025-01-21,24.71,402.52,0.1,-1.66,-5.5,❌ LOS
2025-01-23,28.02,398.63,0.03,-0.06,-7.02,❌ LOS
2025-01-27,39.09,408.72,-3.79,-2.56,-7.43,❌ LOS
2025-01-28,23.07,402.91,-1.75,-0.59,-6.77,❌ LOS
2025-01-30,22.33,398.74,-0.08,-0.5,-4.32,❌ LOS
2025-08-13,44.1,396.63,-1.34,0.26,4.58,✅ WIN
2025-08-14,20.62,389.95,-0.65,1.78,6.19,✅ WIN
2025-08-19,60.58,396.65,0.08,0.13,2.99,✅ WIN
2025-08-20,30.14,391.34,1.62,3.06,4.51,✅ WIN
2025-08-22,38.31,402.1,-1.46,2.31,0.37,✅ WIN
2025-09-05,29.85,410.41,0.89,-0.78,-5.7,❌ LOS
2025-09-08,23.8,411.38,0.66,-1.89,-7.29,❌ LOS
2025-09-11,35.07,414.79,-1.4,-3.77,-10.8,❌ LOS
2026-01-21,28.92,379.24,-2.43,0.67,-1.58,❌ LOS
2026-01-22,24.2,375.68,-2.42,0.35,0.32,✅ WIN
2026-01-26,24.48,381.1,-2.18,-1.43,-0.53,❌ LOS
