Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,24.96,252.82,-1.03,0.04,-0.15,❌ LOS
2025-02-06,55.56,269.52,-0.32,-3.98,-8.55,❌ LOS
2025-02-11,25.4,268.26,0.14,-3.35,-15.08,❌ LOS
2025-02-12,25.47,272.57,-2.06,-5.19,-18.85,❌ LOS
2025-05-12,40.06,251.75,1.6,0.32,0.5,✅ WIN
2025-05-13,28.44,255.33,-1.02,-1.98,-0.9,❌ LOS
2025-06-27,46.2,264.96,2.02,4.95,1.91,✅ WIN
2025-10-22,25.49,274.65,-5.33,-3.85,-2.93,❌ LOS
2025-11-25,28.4,284.46,-1.58,-4.74,3.01,✅ WIN
2026-02-09,25.19,313.74,1.21,-0.4,-4.94,❌ LOS
2026-02-10,41.15,323.4,-2.42,-3.2,-8.25,❌ LOS
2026-02-11,49.22,324.83,-3.81,-2.25,-9.45,❌ LOS
2026-02-12,28.19,321.87,-1.93,-3.18,-9.46,❌ LOS
2026-04-14,32.95,331.23,2.66,-2.42,-5.37,❌ LOS
2026-04-17,54.51,340.87,-1.58,-6.57,-7.29,❌ LOS
2026-04-20,32.84,342.73,-3.04,-9.19,-7.22,❌ LOS
2026-04-21,34.22,340.05,-4.95,-8.07,-7.3,❌ LOS
2026-04-22,24.99,333.51,-5.75,-3.64,-2.94,❌ LOS
2026-04-24,28.15,335.47,-5.07,-5.62,-4.29,❌ LOS
2026-04-27,41.32,332.3,-6.34,-5.09,-2.55,❌ LOS
