Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,6.61,8.57,-6.53,-11.9,-19.72,❌ LOS
2024-11-26,3.81,8.32,-0.48,-14.18,-15.26,❌ LOS
2024-11-27,2.16,8.18,2.69,-15.04,-15.28,❌ LOS
2024-11-29,1.93,8.29,-0.84,-14.84,-16.77,❌ LOS
2024-12-02,2.07,8.33,-5.28,-10.8,-16.81,❌ LOS
2024-12-03,1.59,8.01,-5.74,-11.49,-15.23,❌ LOS
2024-12-04,0.93,8.28,-13.77,-21.26,-19.44,❌ LOS
2024-12-05,1.03,8.4,-17.26,-21.67,-21.31,❌ LOS
2024-12-06,0.56,8.22,-14.11,-16.18,-20.8,❌ LOS
2025-01-31,0.48,6.41,-8.42,-2.81,-20.28,❌ LOS
2025-05-07,0.32,4.8,5.0,3.33,6.67,✅ WIN
2025-05-09,0.6,4.84,13.84,0.21,2.69,✅ WIN
2025-05-12,0.5,5.07,7.69,-1.78,-1.97,❌ LOS
2025-05-13,0.35,5.13,4.87,-4.87,-6.24,❌ LOS
2025-05-16,0.42,5.51,-11.98,-8.71,-17.6,❌ LOS
2025-05-19,0.29,5.46,-8.79,-7.51,-19.41,❌ LOS
2026-04-24,0.36,3.57,-1.68,1.96,-4.48,❌ LOS
2026-05-07,0.34,3.73,-14.48,-14.48,-12.87,❌ LOS
2026-06-26,0.32,3.6,9.44,8.33,6.67,✅ WIN
