Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-19,2.13,37.83,-3.24,-10.98,-7.29,❌ LOS
2024-09-20,3.44,36.93,2.05,-9.85,-6.09,❌ LOS
2024-09-27,1.47,37.68,-11.66,-11.66,-19.1,❌ LOS
2024-09-30,1.67,36.88,-12.25,-7.97,-14.72,❌ LOS
2024-10-01,2.48,36.39,-10.39,-7.31,-14.18,❌ LOS
2025-05-20,1.55,25.13,-5.67,-4.73,-9.23,❌ LOS
2025-07-30,1.73,25.39,-6.92,5.46,12.11,✅ WIN
2025-08-27,1.85,28.47,3.5,5.86,-3.07,❌ LOS
2025-08-28,1.54,28.13,4.79,4.32,0.58,✅ WIN
2025-08-29,1.54,28.42,6.56,3.21,-0.87,❌ LOS
2025-09-05,1.73,29.47,-0.45,-5.68,-5.51,❌ LOS
2025-09-08,2.36,30.28,-3.14,-6.84,-13.97,❌ LOS
2025-09-11,2.0,30.14,-3.09,-8.44,-13.68,❌ LOS
