Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-04-29,23.76,203.55,-0.74,3.18,6.75,✅ WIN
2025-05-30,23.19,219.27,0.93,-1.05,2.74,✅ WIN
2026-01-15,21.4,223.17,3.0,5.81,12.26,✅ WIN
2026-01-16,42.3,227.7,0.81,3.72,10.6,✅ WIN
2026-01-20,29.16,223.22,2.72,7.37,12.12,✅ WIN
2026-01-21,28.31,227.47,-1.15,7.38,9.86,✅ WIN
2026-01-22,27.9,230.97,2.11,5.08,9.63,✅ WIN
2026-01-23,22.01,229.85,2.74,7.64,9.75,✅ WIN
2026-01-29,31.87,235.85,2.91,5.54,7.73,✅ WIN
2026-01-30,26.33,236.14,4.77,6.09,9.56,✅ WIN
2026-02-03,18.2,239.66,5.38,4.43,7.05,✅ WIN
2026-02-04,25.31,244.27,3.12,2.3,1.79,✅ WIN
2026-02-10,18.86,252.56,-0.9,-0.47,-1.11,❌ LOS
2026-02-12,22.27,248.92,1.73,2.07,-1.74,❌ LOS
2026-02-13,20.45,250.52,0.7,3.27,-2.36,❌ LOS
2026-05-22,19.91,239.04,3.78,-7.07,-2.44,❌ LOS
2026-05-26,32.3,243.02,1.51,-6.91,-1.86,❌ LOS
2026-05-29,31.24,249.46,-10.04,-7.38,-8.68,❌ LOS
2026-06-01,19.68,248.08,-10.46,-3.86,-9.75,❌ LOS
2026-06-26,46.6,243.53,-5.07,-8.74,0.91,✅ WIN
