Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-25,3.79,21.49,-4.1,-1.31,-0.82,❌ LOS
2024-12-06,7.62,23.18,-8.85,-9.21,-6.39,❌ LOS
2025-06-30,4.37,20.22,1.81,-0.83,1.96,✅ WIN
2025-07-02,3.29,21.01,0.19,-1.98,-2.64,❌ LOS
2025-07-07,3.06,20.68,-1.15,-1.2,-4.26,❌ LOS
2025-07-10,4.25,21.05,-2.16,-3.66,-4.18,❌ LOS
2025-08-27,3.02,22.48,1.89,9.37,7.07,✅ WIN
2025-08-28,3.23,22.9,1.55,6.78,4.17,✅ WIN
2025-09-04,5.04,22.9,7.34,9.56,6.26,✅ WIN
2025-09-10,3.3,24.17,1.19,0.61,7.27,✅ WIN
2025-09-11,2.88,24.58,2.07,-2.1,6.15,✅ WIN
2025-09-19,3.31,24.84,-3.96,-2.24,-8.12,❌ LOS
2025-09-22,2.88,25.01,-4.05,-1.47,-9.1,❌ LOS
2025-12-09,3.64,24.62,-1.9,-0.17,-10.57,❌ LOS
2025-12-10,5.76,25.11,-4.91,-2.66,-11.7,❌ LOS
2025-12-11,4.15,24.39,-2.53,0.4,-9.4,❌ LOS
2025-12-12,4.51,23.73,2.96,2.54,-6.06,❌ LOS
2025-12-15,2.89,23.91,3.32,0.69,-7.6,❌ LOS
2025-12-16,2.82,24.15,1.76,-0.56,-9.13,❌ LOS
