Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-12-04,0.92,29.88,3.56,-0.28,-1.97,❌ LOS
2024-12-05,1.3,30.7,0.55,-3.9,-6.63,❌ LOS
2024-12-06,1.09,30.33,1.45,-2.43,-7.18,❌ LOS
2024-12-09,1.77,31.0,-2.53,-4.91,-8.26,❌ LOS
2024-12-10,1.72,31.34,-4.17,-5.78,-10.43,❌ LOS
2024-12-11,1.83,30.95,-3.71,-4.38,-7.77,❌ LOS
2024-12-13,0.98,30.77,-3.83,-5.28,-9.26,❌ LOS
2025-04-03,0.99,29.66,-6.14,-1.8,-5.87,❌ LOS
2026-01-27,1.0,24.85,-2.3,-3.57,0.44,✅ WIN
2026-01-30,1.46,24.26,1.3,-3.37,0.85,✅ WIN
2026-05-28,2.18,23.59,-1.27,3.6,12.38,✅ WIN
2026-05-29,5.21,23.23,1.68,6.54,13.26,✅ WIN
