Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-02-18,8.75,52.41,1.56,6.24,6.38,✅ WIN
2025-02-25,14.99,53.23,4.6,-0.97,4.19,✅ WIN
2025-02-26,18.53,53.66,5.73,-1.31,3.31,✅ WIN
2025-02-27,12.92,53.61,2.34,-1.42,3.38,✅ WIN
2025-02-28,43.36,55.2,-0.1,-1.77,-0.57,❌ LOS
2025-09-10,7.82,66.04,1.9,2.22,4.58,✅ WIN
2025-11-13,7.84,71.16,-7.65,-2.73,2.5,✅ WIN
2025-12-11,8.77,73.18,2.02,6.29,8.07,✅ WIN
2025-12-19,8.03,75.79,1.19,5.34,6.74,✅ WIN
2026-01-05,10.36,79.05,0.04,1.5,9.47,✅ WIN
2026-01-06,9.23,79.83,-0.68,1.33,8.93,✅ WIN
2026-01-27,10.57,86.07,0.55,1.13,6.45,✅ WIN
2026-01-29,8.96,86.12,-1.89,-1.98,5.22,✅ WIN
2026-01-30,8.44,85.6,1.45,-3.25,1.95,✅ WIN
2026-02-03,11.99,86.54,0.57,-0.99,-2.01,❌ LOS
2026-02-04,10.24,86.96,0.01,-2.87,-4.09,❌ LOS
2026-02-09,10.19,88.24,-4.57,-3.13,-5.38,❌ LOS
2026-02-10,7.73,87.04,-1.55,5.26,-3.93,❌ LOS
2026-02-11,8.12,86.97,-2.89,5.68,-8.12,❌ LOS
