Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-01-23,36.64,288.29,1.06,-4.84,-12.9,❌ LOS
2025-07-30,27.7,258.36,-1.85,7.85,13.69,✅ WIN
2025-08-13,19.76,278.63,2.84,5.42,-1.16,❌ LOS
2025-08-15,19.82,282.98,4.58,6.03,-3.83,❌ LOS
2025-08-21,16.74,290.97,1.16,4.57,-14.2,❌ LOS
2025-08-22,21.1,295.95,1.39,3.63,-13.9,❌ LOS
2025-09-02,25.91,306.37,-11.95,-12.17,-15.8,❌ LOS
2025-09-03,20.08,308.27,-12.31,-13.65,-20.63,❌ LOS
2025-09-04,18.89,308.29,-10.67,-15.11,-17.46,❌ LOS
2025-10-21,20.3,292.71,-0.14,-4.52,-20.7,❌ LOS
2025-12-11,18.0,264.24,-2.18,-2.54,4.15,✅ WIN
2025-12-15,22.89,272.42,-6.21,-5.39,0.12,✅ WIN
2026-01-15,18.96,282.52,-6.15,-31.26,-35.16,❌ LOS
2026-04-07,18.94,197.15,-0.48,10.25,21.5,✅ WIN
