Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-10-15,31.98,53.91,-27.95,-3.69,-22.59,❌ LOS
2026-01-05,22.27,58.25,4.88,0.07,1.32,✅ WIN
2026-04-08,28.12,61.43,15.73,31.43,77.34,✅ WIN
2026-04-09,22.66,63.42,11.83,24.2,59.54,✅ WIN
2026-04-10,22.03,66.08,13.34,16.32,48.99,✅ WIN
2026-04-17,31.37,74.9,2.63,2.78,36.81,✅ WIN
2026-04-20,34.01,78.99,-4.15,-1.15,21.79,✅ WIN
2026-04-21,23.88,76.58,-5.84,5.13,21.85,✅ WIN
2026-04-22,25.63,80.74,-12.06,34.93,19.53,✅ WIN
2026-04-23,25.01,78.77,-3.8,28.45,33.63,✅ WIN
2026-04-24,26.24,76.87,0.14,28.09,37.77,✅ WIN
