Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-09-27,2.82,44.87,-5.52,-3.46,-6.49,❌ LOS
2025-02-13,4.39,39.35,-4.82,-3.65,-7.11,❌ LOS
2025-02-14,2.89,38.57,-1.66,-3.23,0.21,✅ WIN
2025-05-12,4.58,39.34,-4.68,-5.54,-5.82,❌ LOS
2025-07-10,2.68,41.67,-1.66,-2.66,-16.04,❌ LOS
2025-12-10,3.04,37.83,3.33,5.13,4.18,✅ WIN
2025-12-15,3.74,38.03,5.65,4.1,4.23,✅ WIN
2025-12-16,3.25,38.68,3.21,1.09,4.91,✅ WIN
2025-12-17,3.18,39.09,1.74,-0.13,1.07,✅ WIN
2025-12-18,3.41,39.47,1.6,-1.42,-1.52,❌ LOS
2025-12-19,5.54,40.06,-0.05,-1.22,-1.07,❌ LOS
2025-12-22,3.05,40.18,-1.47,-3.98,-0.82,❌ LOS
