Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-12-12,5.2,50.98,-6.38,-12.19,-8.63,❌ LOS
2026-03-04,3.31,52.9,-5.19,-5.51,-9.44,❌ LOS
2026-04-22,12.82,54.17,-4.71,3.31,0.63,✅ WIN
2026-04-23,3.71,51.42,2.34,6.75,6.38,✅ WIN
2026-04-24,4.39,54.23,-2.54,2.47,2.06,✅ WIN
2026-04-27,3.34,54.09,-5.13,1.31,2.33,✅ WIN
2026-05-05,20.58,58.51,-7.56,-9.73,-5.06,❌ LOS
2026-05-06,5.79,55.97,-4.8,-2.6,1.21,✅ WIN
2026-06-05,3.05,56.8,3.3,1.28,8.82,✅ WIN
2026-06-08,4.94,57.41,2.21,2.48,9.51,✅ WIN
2026-06-09,4.29,58.53,-1.23,1.23,7.69,✅ WIN
2026-06-10,13.15,56.41,0.84,5.16,14.23,✅ WIN
2026-06-11,6.56,59.91,-3.51,1.88,6.47,✅ WIN
2026-06-12,4.16,58.67,-1.95,4.58,8.6,✅ WIN
