Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-08-27,4.49,17.37,-2.79,-2.46,-1.53,❌ LOS
2025-03-03,3.17,17.63,8.6,10.34,6.58,✅ WIN
2025-03-04,4.08,17.71,7.69,10.94,6.28,✅ WIN
2025-03-05,5.18,18.67,2.57,5.29,1.59,✅ WIN
2025-03-06,5.31,19.19,-1.1,-0.1,-5.0,❌ LOS
2025-03-07,6.84,19.9,-2.31,-4.19,-16.3,❌ LOS
2025-03-10,3.2,19.15,1.6,-0.95,-15.33,❌ LOS
2025-03-11,3.42,19.07,3.02,2.06,-16.4,❌ LOS
2025-05-05,3.25,20.51,1.07,4.58,2.78,✅ WIN
2025-05-09,3.25,20.49,3.32,3.12,3.56,✅ WIN
2025-07-09,2.82,23.2,-2.28,2.59,1.72,✅ WIN
2025-07-23,3.26,23.8,-1.64,-0.84,4.24,✅ WIN
2025-11-10,2.58,26.32,-4.18,-5.4,1.03,✅ WIN
2025-12-11,6.47,27.67,0.18,2.31,3.94,✅ WIN
2025-12-12,2.85,27.24,2.35,2.61,6.57,✅ WIN
2026-01-06,2.7,28.62,1.43,-0.38,7.06,✅ WIN
2026-01-27,2.96,30.03,2.93,2.93,-1.53,❌ LOS
2026-01-28,2.74,29.68,3.23,1.58,-0.54,❌ LOS
2026-02-02,2.49,30.35,1.19,-4.35,-11.53,❌ LOS
2026-02-03,4.29,30.91,0.0,-5.44,-11.84,❌ LOS
2026-02-10,3.1,30.91,-5.44,-4.34,-12.07,❌ LOS
