Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-08-15,0.11,1.86,5.38,27.42,22.58,✅ WIN
2025-08-27,0.32,2.46,11.79,7.72,-1.22,❌ LOS
2025-08-28,0.13,2.46,13.41,-3.25,0.81,✅ WIN
2025-09-02,0.15,2.57,7.0,-11.28,-8.95,❌ LOS
2025-09-03,0.13,2.71,-2.58,-19.56,-12.55,❌ LOS
2025-09-04,0.1,2.75,-3.64,-16.0,-10.55,❌ LOS
2025-09-05,0.08,2.79,-14.7,-17.56,-12.9,❌ LOS
2025-09-08,0.11,2.87,-20.56,-13.24,-16.03,❌ LOS
2025-09-09,0.09,2.75,-17.09,-12.36,-13.09,❌ LOS
2025-09-11,0.05,2.65,-12.83,-8.3,0.0,❌ LOS
2025-10-08,0.06,2.56,-0.78,-13.28,-10.55,❌ LOS
2025-12-09,0.06,2.18,6.42,-1.38,-26.15,❌ LOS
2025-12-10,0.06,2.17,19.82,3.69,-28.11,❌ LOS
2025-12-15,0.17,2.26,-0.44,-22.12,-27.43,❌ LOS
2025-12-16,0.1,2.32,-7.33,-25.0,-31.9,❌ LOS
2025-12-17,0.49,2.6,-13.46,-35.0,-41.54,❌ LOS
2025-12-18,0.1,2.37,-3.38,-32.91,-36.29,❌ LOS
2025-12-19,0.1,2.28,-24.12,-29.82,-33.77,❌ LOS
2025-12-22,0.06,2.25,-21.78,-25.78,-30.67,❌ LOS
2026-02-24,0.05,1.89,-11.11,-8.47,-16.93,❌ LOS
