Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-07,26.32,22.11,18.32,48.26,71.73,✅ WIN
2024-11-08,24.25,24.79,17.55,28.28,38.12,✅ WIN
2024-11-21,22.7,32.78,11.35,15.83,35.51,✅ WIN
2024-12-20,19.47,44.42,-0.29,11.64,-6.91,❌ LOS
2025-01-03,18.15,47.77,-41.68,-5.15,-12.37,❌ LOS
2025-05-22,61.31,45.79,-11.9,-14.78,-10.16,❌ LOS
2025-05-23,31.42,45.69,-11.21,-12.32,-10.57,❌ LOS
2025-05-27,21.09,48.04,-17.13,-17.28,-20.67,❌ LOS
2025-05-28,18.87,47.56,-16.65,-16.53,-13.54,❌ LOS
2025-09-12,65.1,55.61,26.61,20.99,27.05,✅ WIN
2025-09-15,39.23,59.11,21.71,8.71,38.88,✅ WIN
2025-09-16,34.47,62.26,20.69,-1.22,24.56,✅ WIN
2025-09-17,57.33,65.44,12.87,-3.59,10.65,✅ WIN
2025-09-18,46.41,66.81,3.92,4.18,-1.83,❌ LOS
2025-09-19,58.0,70.41,-4.45,4.08,-10.61,❌ LOS
2025-09-22,40.55,71.94,-10.68,9.8,-16.68,❌ LOS
2025-09-23,51.06,75.14,-18.15,5.44,-20.81,❌ LOS
2025-09-24,37.12,73.86,-14.58,0.6,-24.93,❌ LOS
2025-09-25,38.93,69.43,0.24,11.62,-14.49,❌ LOS
2025-09-26,24.97,67.28,8.92,5.01,-10.37,❌ LOS
2026-04-16,17.6,44.68,-2.35,0.98,28.63,✅ WIN
