Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2025-08-29,23.44,26.48,-1.1,40.26,73.45,✅ WIN
2025-09-02,21.11,29.11,3.71,25.21,61.22,✅ WIN
2025-09-09,18.93,30.19,20.74,38.36,104.31,✅ WIN
2025-09-10,19.23,33.63,12.7,40.17,78.68,✅ WIN
2025-09-15,16.44,37.14,12.82,23.67,72.7,✅ WIN
2025-09-24,34.72,47.14,-0.13,27.47,9.95,✅ WIN
2025-09-25,28.95,46.29,1.58,37.93,20.67,✅ WIN
2025-09-26,18.74,41.86,20.54,42.79,50.26,✅ WIN
2025-10-06,22.19,57.75,11.06,2.55,17.32,✅ WIN
2025-10-07,42.77,61.68,12.78,-10.51,8.03,✅ WIN
2025-10-08,31.21,60.09,13.13,-13.75,27.16,✅ WIN
2025-10-09,33.21,63.85,-3.16,-12.51,4.87,✅ WIN
2025-10-10,24.02,59.77,1.59,5.24,4.37,✅ WIN
2025-10-13,20.82,64.14,-7.67,1.33,-6.19,❌ LOS
2025-10-14,23.97,69.56,-20.65,-10.26,-17.51,❌ LOS
2025-10-15,19.99,67.98,-23.76,-11.12,-18.06,❌ LOS
2026-01-16,21.09,57.82,-9.44,-8.2,-29.14,❌ LOS
2026-01-21,18.14,53.48,17.69,-15.97,-19.05,❌ LOS
2026-01-28,16.71,62.94,-28.6,-32.21,-29.71,❌ LOS
