Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-10-30,15.12,254.73,4.21,3.26,4.43,✅ WIN
2024-11-06,18.96,265.46,-0.91,-3.3,-0.07,❌ LOS
2024-11-13,22.48,263.05,-2.41,1.13,0.06,✅ WIN
2025-03-07,30.73,266.08,-7.29,-8.43,-17.32,❌ LOS
2025-07-08,18.12,253.07,-0.59,0.86,-0.72,❌ LOS
2025-07-10,19.99,257.21,-1.69,-0.11,-2.04,❌ LOS
2025-12-15,14.39,255.38,-2.74,-3.03,0.74,✅ WIN
2026-02-03,51.37,277.16,5.5,6.18,2.96,✅ WIN
2026-02-04,61.73,286.99,3.21,1.74,-2.18,❌ LOS
2026-02-05,40.5,286.48,3.55,2.32,-3.86,❌ LOS
2026-02-06,28.26,291.73,2.05,-0.12,-5.79,❌ LOS
2026-02-09,39.65,288.75,2.35,1.37,-5.95,❌ LOS
2026-02-10,26.0,292.4,0.65,-1.53,-7.72,❌ LOS
2026-02-11,32.05,296.2,-1.43,-2.61,-10.89,❌ LOS
2026-02-12,47.66,296.63,-1.18,-2.64,-10.56,❌ LOS
2026-02-13,30.3,297.72,-2.13,-2.81,-10.33,❌ LOS
2026-02-17,23.78,295.55,-0.96,-3.85,-9.98,❌ LOS
2026-02-18,22.83,294.3,-2.17,-3.04,-11.96,❌ LOS
2026-02-19,21.2,291.97,-1.2,-3.85,-11.3,❌ LOS
2026-02-20,27.09,293.13,-1.47,-6.04,-12.64,❌ LOS
2026-02-23,19.09,291.38,-0.7,-5.67,-10.39,❌ LOS
