Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-06,33.55,232.92,-0.89,-2.65,0.36,✅ WIN
2024-11-08,16.47,233.8,-4.05,0.27,-0.16,❌ LOS
2024-11-11,22.55,237.32,-5.28,0.29,-2.07,❌ LOS
2024-11-12,22.63,233.15,-2.88,1.33,0.13,✅ WIN
2024-11-25,19.62,238.0,-0.98,-2.35,-7.57,❌ LOS
2025-08-22,21.35,232.42,0.14,1.46,4.37,✅ WIN
2025-09-11,18.56,238.32,1.97,-0.35,2.09,✅ WIN
2025-12-10,22.25,252.91,-2.65,-0.49,2.47,✅ WIN
2025-12-11,24.43,255.87,-3.2,-2.15,1.78,✅ WIN
2025-12-12,20.81,251.95,-0.87,-1.23,3.3,✅ WIN
2026-01-20,17.45,261.49,0.82,0.08,0.54,✅ WIN
2026-01-21,34.53,266.68,-1.68,-2.71,-1.19,❌ LOS
2026-01-22,24.14,268.67,-2.38,-5.17,-1.92,❌ LOS
2026-01-23,18.41,263.71,-1.95,0.08,-1.63,❌ LOS
2026-04-17,35.75,275.13,0.32,1.27,0.66,✅ WIN
2026-04-20,22.16,276.69,-0.08,0.19,-0.5,❌ LOS
2026-04-21,22.16,273.86,-0.22,2.93,-0.55,❌ LOS
2026-04-23,21.99,274.87,0.89,2.45,2.53,✅ WIN
2026-04-27,17.12,276.48,0.27,2.96,4.82,✅ WIN
2026-04-30,16.87,277.31,1.54,2.33,4.48,✅ WIN
