Date,Signal_Score,Entry,Return_5d (%),Return_10d (%),Return_20d (%),W/L
2024-11-06,20.75,189.79,-1.65,-5.61,-5.47,❌ LOS
2025-10-16,85.32,168.79,-1.67,-1.73,-1.67,❌ LOS
2025-10-17,29.44,164.09,0.16,2.43,-0.98,❌ LOS
2025-10-22,20.65,167.76,0.21,1.02,-4.86,❌ LOS
2025-11-04,30.78,171.85,-2.42,-5.9,9.13,✅ WIN
2025-12-02,29.83,185.36,2.18,5.94,4.64,✅ WIN
2025-12-03,24.59,187.54,5.43,3.29,4.71,✅ WIN
2025-12-04,22.49,187.17,6.4,4.73,7.72,✅ WIN
2025-12-08,28.27,189.51,4.06,5.1,7.34,✅ WIN
2025-12-09,21.35,189.39,3.68,3.83,8.25,✅ WIN
2025-12-10,45.73,197.73,-2.03,0.08,4.4,✅ WIN
2025-12-11,50.14,199.15,-1.57,-0.64,3.4,✅ WIN
2025-12-12,25.99,198.28,-0.5,-0.57,3.27,✅ WIN
2025-12-15,23.7,197.21,1.0,-0.7,4.15,✅ WIN
2025-12-19,25.02,197.29,-0.07,3.98,6.08,✅ WIN
2026-02-03,26.67,220.17,4.03,1.49,6.7,✅ WIN
2026-02-04,36.58,227.76,1.15,-0.9,-0.62,❌ LOS
2026-02-06,20.63,227.91,-2.7,-2.56,-4.59,❌ LOS
2026-02-12,25.41,218.72,5.23,6.72,-8.44,❌ LOS
